Date,Open,High,Low,Close,Adj Close,Volume
2018-06-05,48.500000,50.049999,47.299999,47.549999,42.425484,56265
2018-06-06,48.000000,50.450001,46.950001,49.400002,44.076111,131747
2018-06-07,49.799999,51.799999,49.750000,51.400002,45.860565,68701
2018-06-08,51.750000,54.400002,50.950001,53.599998,47.823467,145180
2018-06-11,53.000000,54.700001,52.849998,53.099998,47.377354,75197
2018-06-12,53.150002,54.500000,53.099998,53.700001,47.912693,107611
2018-06-13,53.200001,53.900002,52.950001,53.200001,47.466579,22489
2018-06-14,53.150002,53.650002,52.650002,53.250000,47.511189,34281
2018-06-15,53.700001,55.250000,53.099998,53.599998,47.823467,160357
2018-06-18,53.900002,54.150002,52.150002,52.400002,46.752796,56496
2018-06-19,52.299999,52.299999,50.549999,50.700001,45.236004,44168
2018-06-20,50.750000,51.400002,49.400002,49.950001,44.566833,35017
2018-06-21,49.799999,50.500000,49.000000,49.200001,43.897663,27726
2018-06-22,49.000000,49.250000,48.200001,48.750000,43.496159,56201
2018-06-25,49.049999,50.299999,48.849998,49.200001,43.897663,37849
2018-06-26,49.150002,49.150002,48.099998,48.250000,43.050045,44330
2018-06-27,48.799999,48.799999,46.099998,46.450001,41.444031,71880
2018-06-28,47.049999,47.049999,44.700001,45.150002,40.284138,46245
2018-06-29,46.049999,47.000000,45.400002,46.099998,41.131752,67405
2018-07-02,48.000000,48.000000,44.099998,45.150002,40.284138,47131
2018-07-03,45.000000,46.500000,44.250000,45.900002,40.953312,52506
2018-07-04,46.299999,47.000000,45.500000,45.700001,40.774860,89841
2018-07-05,45.000000,46.000000,45.000000,45.099998,40.239525,34674
2018-07-06,45.000000,45.799999,45.000000,45.299999,40.417969,35901
2018-07-09,45.750000,47.049999,45.750000,46.349998,41.354809,58273
2018-07-10,47.500000,48.250000,46.700001,48.049999,42.871597,138405
2018-07-11,48.000000,49.400002,47.200001,48.250000,43.050045,81676
2018-07-12,48.950001,49.250000,47.349998,47.549999,42.425484,68921
2018-07-13,47.599998,47.599998,46.000000,46.200001,41.220978,30853
2018-07-16,46.200001,46.200001,43.700001,43.849998,39.124233,45820
2018-07-17,43.549999,43.849998,42.900002,43.549999,38.856567,53410
2018-07-18,44.500000,44.500000,42.500000,42.750000,38.142784,48292
2018-07-19,42.400002,42.950001,41.250000,41.450001,36.982891,61291
2018-07-20,41.099998,41.099998,40.099998,40.250000,35.912216,45110
2018-07-23,41.200001,41.650002,40.450001,41.150002,36.715221,45555
2018-07-24,41.450001,43.650002,41.349998,42.950001,38.321232,68981
2018-07-25,43.150002,43.650002,42.250000,42.599998,38.008953,46749
2018-07-26,42.849998,43.450001,42.799999,43.250000,38.588902,21369
2018-07-27,43.250000,44.549999,43.099998,44.000000,39.258072,39838
2018-07-30,44.250000,45.299999,44.250000,44.400002,39.614967,35211
2018-07-31,45.299999,46.349998,44.900002,45.150002,40.284138,81191
2018-08-01,45.200001,45.849998,44.250000,44.900002,40.061077,38522
2018-08-02,44.900002,45.799999,44.299999,45.500000,40.596416,59182
2018-08-03,45.750000,51.799999,45.650002,50.700001,45.236004,752307
2018-08-06,50.400002,50.400002,47.599998,47.900002,42.737770,126607
2018-08-07,47.799999,47.799999,46.400002,46.650002,41.622478,56527
2018-08-08,46.950001,47.500000,46.200001,46.400002,41.399422,54715
2018-08-09,46.500000,46.950001,46.000000,46.150002,41.176365,26204
2018-08-10,46.750000,46.750000,45.000000,45.099998,40.239525,66651
2018-08-13,44.250000,45.400002,43.900002,44.450001,39.659576,31183
2018-08-14,44.250000,45.349998,44.099998,44.599998,39.793407,34188
2018-08-16,45.000000,45.000000,43.700001,43.950001,39.213459,35217
2018-08-17,44.200001,45.099998,43.849998,44.599998,39.793407,38971
2018-08-20,44.950001,44.950001,44.000000,44.200001,39.436520,35712
2018-08-21,44.250000,44.849998,44.000000,44.099998,39.347294,48852
2018-08-23,45.000000,45.000000,43.700001,43.799999,39.079624,32201
2018-08-24,44.150002,45.849998,43.900002,44.900002,40.061077,128224
2018-08-27,45.250000,48.700001,45.250000,48.000000,42.826988,205006
2018-08-28,50.000000,51.049999,48.400002,49.049999,43.763824,401636
2018-08-29,48.700001,49.599998,47.299999,47.650002,42.514709,76724
2018-08-30,48.000000,50.200001,46.799999,49.049999,43.763824,113574
2018-08-31,50.650002,50.650002,48.049999,48.349998,43.139263,58166
2018-09-03,49.000000,49.250000,47.650002,47.950001,42.782375,43137
2018-09-04,48.849998,48.849998,46.200001,46.400002,41.399422,33542
2018-09-05,46.000000,46.349998,44.549999,45.200001,40.328751,29981
2018-09-06,45.799999,45.900002,45.200001,45.349998,40.462578,17845
2018-09-07,45.500000,46.950001,45.400002,46.049999,41.087139,54640
2018-09-10,45.299999,46.000000,45.150002,45.250000,40.373360,23002
2018-09-11,46.400002,46.400002,44.000000,44.349998,39.570351,66243
2018-09-12,44.349998,45.500000,44.049999,44.700001,39.882633,31854
2018-09-14,46.450001,49.450001,46.349998,46.849998,41.800922,294782
2018-09-17,46.900002,46.900002,45.450001,45.700001,40.774860,53891
2018-09-18,45.650002,46.000000,44.299999,44.599998,39.793407,50001
2018-09-19,44.849998,44.900002,43.799999,44.049999,39.302681,52402
2018-09-21,44.200001,44.900002,40.000000,43.849998,39.124233,172693
2018-09-24,43.849998,43.849998,40.000000,40.450001,36.090660,220353
2018-09-25,40.650002,40.700001,39.549999,39.849998,35.555325,56726
2018-09-26,40.150002,41.299999,39.849998,40.849998,36.447552,33763
2018-09-27,41.000000,41.099998,39.500000,39.599998,35.332260,43090
2018-09-28,40.500000,40.500000,37.799999,38.150002,34.038536,89131
